scheduling process 2, rbi 122713302, rtime 0, wtime 0, stime 34
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 4, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 5, rbi 25, rtime 0, wtime 0, stime 0
scheduling process 6, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 7, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 8, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 3, rbi 0, rtime 0, wtime 0, stime 0
scheduling process 11, rbi 0, rtime 2, wtime 0, stime 0
scheduling process 9, rbi 0, rtime 2, wtime 0, stime 0
scheduling process 4, rbi 1431655732, rtime 0, wtime 1, stime 1
scheduling process 10, rbi 0, rtime 2, wtime 0, stime 0
scheduling process 5, rbi 1431655732, rtime 0, wtime 1, stime 1
scheduling process 6, rbi 1431655732, rtime 0, wtime 1, stime 1
scheduling process 7, rbi 1431655732, rtime 0, wtime 1, stime 1
scheduling process 8, rbi 1431655732, rtime 0, wtime 1, stime 1
scheduling process 10, rbi 100, rtime 3, wtime 0, stime 0
scheduling process 9, rbi 100, rtime 3, wtime 0, stime 0
scheduling process 4, rbi 858993419, rtime 0, wtime 2, stime 2
scheduling process 5, rbi 858993419, rtime 0, wtime 2, stime 2
scheduling process 11, rbi 100, rtime 4, wtime 0, stime 0
scheduling process 6, rbi 858993419, rtime 0, wtime 2, stime 2
scheduling process 7, rbi 858993419, rtime 0, wtime 2, stime 2
scheduling process 8, rbi 858993419, rtime 0, wtime 2, stime 2
scheduling process 9, rbi 80, rtime 4, wtime 1, stime 0
scheduling process 11, rbi 120, rtime 5, wtime 0, stime 0
scheduling process 4, rbi 613566713, rtime 0, wtime 3, stime 3
scheduling process 10, rbi 80, rtime 5, wtime 1, stime 0
scheduling process 5, rbi 613566713, rtime 0, wtime 3, stime 3
scheduling process 6, rbi 613566713, rtime 0, wtime 3, stime 3
scheduling process 7, rbi 613566713, rtime 0, wtime 3, stime 3
scheduling process 8, rbi 613566713, rtime 0, wtime 3, stime 3
scheduling process 11, rbi 100, rtime 6, wtime 1, stime 0
scheduling process 9, rbi 71, rtime 5, wtime 2, stime 0
scheduling process 4, rbi 477218544, rtime 0, wtime 4, stime 4
scheduling process 5, rbi 477218544, rtime 0, wtime 4, stime 4
scheduling process 10, rbi 100, rtime 7, wtime 1, stime 0
scheduling process 6, rbi 477218544, rtime 0, wtime 4, stime 4
scheduling process 7, rbi 477218544, rtime 0, wtime 4, stime 4
scheduling process 8, rbi 477218544, rtime 0, wtime 4, stime 4
scheduling process 11, rbi 88, rtime 7, wtime 2, stime 0
scheduling process 9, rbi 66, rtime 6, wtime 3, stime 0
scheduling process 4, rbi 390451526, rtime 0, wtime 5, stime 5
scheduling process 10, rbi 111, rtime 9, wtime 1, stime 0
scheduling process 5, rbi 390451526, rtime 0, wtime 5, stime 5
scheduling process 6, rbi 390451526, rtime 0, wtime 5, stime 5
scheduling process 7, rbi 390451526, rtime 0, wtime 5, stime 5
scheduling process 8, rbi 390451526, rtime 0, wtime 5, stime 5
scheduling process 9, rbi 63, rtime 7, wtime 4, stime 0
scheduling process 11, rbi 81, rtime 8, wtime 3, stime 0
scheduling process 4, rbi 330382053, rtime 0, wtime 6, stime 6
scheduling process 10, rbi 118, rtime 11, wtime 1, stime 0
scheduling process 5, rbi 330382053, rtime 0, wtime 6, stime 6
scheduling process 6, rbi 330382053, rtime 0, wtime 6, stime 6
scheduling process 7, rbi 330382053, rtime 0, wtime 6, stime 6
scheduling process 8, rbi 330382053, rtime 0, wtime 6, stime 6
scheduling process 9, rbi 61, rtime 8, wtime 5, stime 0
scheduling process 11, rbi 76, rtime 9, wtime 4, stime 0
scheduling process 4, rbi 286331106, rtime 0, wtime 7, stime 7
